SID,age,agegroup,sex,english,condition (list),training,carrot_prompt,carrot_selection,carrot_selection_type,carrot_target,carrot_correct,hat_prompt,hat_selection,hat_selection_type,hat_target,hat_correct,cat_prompt,cat_selection,cat_selection_type,cat_target,cat_correct,purses_prompt,purses_selection,purses_selection_type,purses_target,purses_correct,shirts_prompt,shirts_selection,shirts_selection_type,shirts_target,shirts_correct,horses_prompt,horses_selection,horses_selection_type,horses_target,horses_correct,bears_prompt,bears_selection,bears_selection_type,bears_target,bears_correct,frogs_prompt,frogs_selection,frogs_selection_type,frogs_target,frogs_correct,plates_prompt,plates_selection,plates_selection_type,plates_target,plates_correct,books_prompt,books_selection,books_selection_type,books_target,books_correct,elephants_prompt,elephants_selection,elephants_selection_type,elephants_target,elephants_correct,bananas_prompt,bananas_selection,bananas_selection_type,bananas_target,bananas_correct,Exclude,Comments
091116_04,6.224657534,out of age range,F,100,C,1,some,2,some,2,1,all,1,all,1,1,some,2,some,2,1,some,2,some,2,1,some,1,some,1,1,some,3,some,3,1,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,1,exclude age
091116_05,5.189041096,out of age range,M,95,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,1,exclude age
091116_06,5.698630137,out of age range,F,75,B,1,some,3,all,2,0,all,1,all,1,1,some,3,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,3,all,1,0,some,2,all,1,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,1,exclude age
091116_07,5.073972603,out of age range,F,95,C,1,some,2,some,2,1,all,NaN,NaN,1,NaN,some,2,some,2,1,some,2,some,2,1,some,1,some,1,1,some,3,some,3,1,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,1,"exclude 2nd trial- said ""some"" instead of all"
91516_01,4.969863014,4.5-5,M,75,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
91816_01,3.021917808,out of age range,F,25,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,1,none,3,0,all,2,all,2,1,some,3,some,3,1,some,1,some,1,1,some,2,all,3,0,all,2,some,1,0,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,1,exclude age
91816_02,5.131506849,out of age range,M,100,C,1,some,2,some,2,1,all,1,all,1,1,some,2,some,2,1,some,2,some,2,1,some,1,some,1,1,some,3,some,3,1,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,1,exclude age
91816_03,4.876712329,4.5-5,F,75,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
91816_04,4.791780822,4.5-5,M,95,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
91816_05,3.898630137,out of age range,M,100,C,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,some,3,all,2,0,some,1,some,1,1,some,3,some,3,1,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,1,exclude age
91816_06,4.764383562,4.5-5,F,75,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
91816_07,6.347945205,out of age range,M,25,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,some,1,all,2,0,some,1,all,3,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,3,all,1,0,all,2,all,2,1,all,3,all,3,1,1,exclude age
91816_08,5.2,out of age range,M,100,C,1,some,2,some,2,1,all,1,all,1,1,some,2,some,2,1,some,2,some,2,1,some,1,some,1,1,some,3,some,3,1,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,1,exclude age
91816_09,4.830136986,4.5-5,F,100,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
91816_10,4.879452055,4.5-5,F,95,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,2,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
92016_01,4.030136986,4-4.5,M,100,C,1,some,2,some,2,1,all,1,all,1,1,some,1,all,2,0,some,3,all,2,0,some,2,all,1,0,some,3,some,3,1,all,3,all,3,1,all,2,all,2,1,all,3,some,1,0,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
92016_02,4.509589041,4.5-5,F,75,A,1,all,3,all,3,1,some,2,some,2,1,all,1,all,1,1,some,2,some,2,1,some,1,some,1,1,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,3,some,3,1,all,2,all,2,1,some,3,some,3,1,some,1,some,1,1,0,
92016_03,4.506849315,4.5-5,M,100,B,1,some,2,some,2,1,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,2,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
92116_01,5,4.5-5,F,100,C,1,some,3,all,2,0,all,1,all,1,1,some,2,some,2,1,some,3,all,2,0,some,2,all,1,0,some,3,some,3,1,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,0,
92316_01,4.263013699,4-4.5,M,95,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,3,some,3,1,all,2,all,2,1,some,3,some,3,1,some,1,some,1,1,0,
92416_01,4.923287671,4.5-5,M,100,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
92416_02,4.142465753,4-4.5,F,75,C,1,some,2,some,2,1,all,1,all,1,1,some,2,some,2,1,some,2,some,2,1,some,1,some,1,1,some,3,some,3,1,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,0,
92416_03,4.380821918,4-4.5,F,100,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
92416_04,4.619178082,4.5-5,F,95,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
92416_05,4.293150685,4-4.5,F,95,C,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,some,1,none,2,0,some,2,all,1,0,some,1,all,3,0,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
92416_06,4.356164384,4-4.5,F,50,A,1,all,2,some,3,0,some,1,all,2,0,all,3,none,1,0,some,3,all,2,0,some,1,some,1,1,all,3,some,1,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,1,exclude language
92516_01,4.098630137,4-4.5,F,95,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,3,all,1,0,some,2,all,3,1,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
92516_02,4.454794521,4-4.5,F,100,C,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,some,3,all,2,0,some,2,all,1,0,some,1,all,3,0,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
92516_03,4.394520548,4-4.5,F,100,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,all,1,all,1,1,some,3,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
92516_04,4.936986301,4.5-5,F,75,B,1,some,3,all,2,0,all,1,all,1,1,some,2,some,2,1,all,1,none,3,0,all,2,all,2,1,some,3,some,3,1,some,1,some,1,1,some,3,some,3,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,0,
92516_05,4.583561644,4.5-5,M,95,C,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,some,3,all,2,0,some,2,all,1,0,some,1,all,3,0,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,0,
92516_06,4.569863014,4.5-5,M,50,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,1,exclude language
10916_01,3.238356164,out of age range,F,100,B,0,some,2,some,2,1,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,1,some,1,1,some,2,all,3,0,all,3,none,1,0,some,2,all,3,0,all,2,all,2,1,all,3,all,3,1,1,
10916_02,4.065753425,4-4.5,F,100,C,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,some,3,all,2,0,some,1,some,1,1,some,1,all,3,0,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
10916_03,4.493150685,4-4.5,F,95,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
10916_04,5.868493151,out of age range,M,75,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,3,some,3,1,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,1,age
10916_05,5.194520548,out of age range,F,100,C,1,some,2,some,2,1,all,1,all,1,1,some,2,some,2,1,some,2,some,2,1,some,1,some,1,1,some,3,some,3,1,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,1,age
101116_01,4.205479452,4-4.5,F,95,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
101116_02,5.142465753,out of age range,M,100,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,3,some,3,1,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,1,age
101116_03,3.487671233,out of age range,F,95,C,1,some,1,none,2,0,all,3,none,1,0,some,1,all,2,0,some,1,none,2,0,some,1,some,1,1,some,1,all,3,0,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,1,age
101116_04,4.569863014,4.5-5,F,100,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
101116_05,4.712328767,4.5-5,F,25,B,1,some,3,all,2,0,all,3,none,1,0,some,1,all,2,0,some,3,all,2,0,all,2,all,2,1,some,1,all,3,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,1,lang
101116_06,4.947945205,4.5-5,F,100,C,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,some,3,all,2,0,some,2,all,1,0,some,1,all,3,0,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
101316_01,4.369863014,4-4.5,M,100,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
101316_02,4.131506849,4-4.5,F,75,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
101316_03,4.682191781,4.5-5,F,100,C,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,some,3,all,2,0,some,2,all,1,0,some,1,all,3,0,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
101316_04,4.219178082,4-4.5,F,75,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
101316_05,4.054794521,4-4.5,F,100,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
102116_01,4.816438356,4.5-5,M,95,C,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,some,3,all,2,0,some,2,all,1,0,some,1,all,3,0,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
102116_02,4.904109589,4.5-5,F,100,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,0,
102116_03,4.983561644,4.5-5,F,100,B,1,some,2,some,2,1,all,1,all,1,1,some,2,some,2,1,all,3,all,3,1,all,2,all,2,1,some,3,some,3,1,some,1,some,1,1,some,3,some,3,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,0,
